10.0.0.148;10.0.0.1;1
10.0.0.153;10.0.0.2;1
10.0.0.152;10.0.0.3;1
10.0.0.152;10.0.0.10;1
10.0.0.149;10.0.0.10;1
10.0.0.145;10.0.0.4;1
10.0.0.148;10.0.0.2;1
10.0.0.154;10.0.0.6;1
10.0.0.145;10.0.0.8;1
10.0.0.154;10.0.0.2;1
10.0.0.146;10.0.0.6;1
10.0.0.147;10.0.0.6;1
10.0.0.7;10.0.0.34;1
10.0.0.1;10.0.0.37;1
10.0.0.4;10.0.0.35;1
10.0.0.8;10.0.0.35;1
10.0.0.10;10.0.0.41;1
10.0.0.3;10.0.0.99;1
10.0.0.4;10.0.0.97;1
10.0.0.5;10.0.0.99;1
10.0.0.8;10.0.0.105;1
10.0.0.5;10.0.0.100;1
10.0.0.3;10.0.0.97;1
10.0.0.4;10.0.0.105;1
10.0.0.86;10.0.0.4;1
10.0.0.86;10.0.0.9;1
10.0.0.90;10.0.0.1;1
10.0.0.152;10.0.0.10;-1
10.0.0.82;10.0.0.5;1
10.0.0.82;10.0.0.4;1
10.0.0.83;10.0.0.3;1
10.0.0.90;10.0.0.7;1
10.0.0.84;10.0.0.9;1
10.0.0.87;10.0.0.7;1
10.0.0.82;10.0.0.7;1
10.0.0.90;10.0.0.7;1
10.0.0.86;10.0.0.10;1
10.0.0.83;10.0.0.9;1
10.0.0.7;10.0.0.105;1
10.0.0.7;10.0.0.36;1
10.0.0.1;10.0.0.102;1
10.0.0.147;10.0.0.6;-1
10.0.0.5;10.0.0.34;1
10.0.0.10;10.0.0.103;1
10.0.0.23;10.0.0.56;1
10.0.0.25;10.0.0.51;1
10.0.0.3;10.0.0.99;1
10.0.0.17;10.0.0.57;1
10.0.0.23;10.0.0.58;1
10.0.0.3;10.0.0.98;1
10.0.0.83;10.0.0.8;1
10.0.0.20;10.0.0.49;1
10.0.0.147;10.0.0.7;1
10.0.0.9;10.0.0.99;1
10.0.0.5;10.0.0.101;1
10.0.0.8;10.0.0.40;1
10.0.0.7;10.0.0.104;1
10.0.0.19;10.0.0.53;1
10.0.0.19;10.0.0.54;1
10.0.0.25;10.0.0.57;1
10.0.0.19;10.0.0.51;1
10.0.0.19;10.0.0.56;1
10.0.0.24;10.0.0.51;1
10.0.0.19;10.0.0.50;1
10.0.0.149;10.0.0.10;-1
10.0.0.184;10.0.0.161;1
10.0.0.177;10.0.0.165;1
10.0.0.180;10.0.0.164;1
10.0.0.178;10.0.0.164;1
10.0.0.145;10.0.0.8;-1
10.0.0.4;10.0.0.35;-1
10.0.0.178;10.0.0.169;1
10.0.0.179;10.0.0.166;1
10.0.0.186;10.0.0.165;1
10.0.0.179;10.0.0.163;1
10.0.0.181;10.0.0.167;1
10.0.0.186;10.0.0.164;1
10.0.0.4;10.0.0.105;-1
10.0.0.90;10.0.0.7;-1
10.0.0.162;10.0.0.98;1
10.0.0.170;10.0.0.103;1
10.0.0.169;10.0.0.101;1
10.0.0.165;10.0.0.103;1
10.0.0.164;10.0.0.97;1
10.0.0.169;10.0.0.103;1
10.0.0.163;10.0.0.102;1
10.0.0.161;10.0.0.100;1
10.0.0.58;10.0.0.98;1
10.0.0.55;10.0.0.103;1
10.0.0.23;10.0.0.58;-1
10.0.0.83;10.0.0.8;-1
10.0.0.55;10.0.0.106;1
10.0.0.52;10.0.0.105;1
10.0.0.54;10.0.0.103;1
10.0.0.51;10.0.0.102;1
10.0.0.53;10.0.0.103;1
10.0.0.57;10.0.0.98;1
10.0.0.55;10.0.0.101;1
